,Unnamed: 0,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country_x,country_y,c1,c2,c3,c4,c5,c6,Country,Alpha-2,Alpha-3,Continent,Anthem,country_lower,god,positivity,anger,sad,joy
9,27,brazil,0.473,0.14,10.0,-18.378,1.0,0.0388,0.819,0.227,0.359,0.523,122.838,audio_features,5yyBDd13Zb7eoVT86NPhO2,spotify:track:5yyBDd13Zb7eoVT86NPhO2,https://api.spotify.com/v1/tracks/5yyBDd13Zb7eoVT86NPhO2,https://api.spotify.com/v1/audio-analysis/5yyBDd13Zb7eoVT86NPhO2,85027.0,4.0,,5yyBDd13Zb7eoVT86NPhO2,"Brazil: Hino Nacional Brasilerio (National Anthem of Brazil), ""There was heard…"" [Olympic version]",Brazil,brazil,#009B3A,#FDDF00,#012876,#61B125,#304F90,#6FC790,Brazil,BR,BRA,South_America,"The placid shores of the Ipiranga heard the resounding shout of a heroic folk And the sun of Liberty in shining beams shone in the homeland's sky at that instant If the pledge of this equality we managed to conquer with strong arm In thy bosom, O Freedom, our chest defies death itself! O beloved, idolized homeland, Hail, hail! Brazil, an intense dream, a vivid ray of love and hope descends to earth If in thy beautiful, smiling and limpid sky the image of the (Southern) Cross blazes. Giant by thine own nature Thou art beautiful, strong, a fearless colossus And thy future mirrors that greatness Adored Land Amongst thousand others art thou, Brazil, O beloved homeland Of the sons of this ground Thou art kind mother Beloved homeland, Brazil Eternally lying on splendid cradle to the sound of sea and under deep sky light Thou flashest, Brazil, crocket of America, illuminated by the sun of New World Than the more garish land, thy smiling, pretty prairies have more flowers ""Our groves have more life"" ""Our life"" in thy bosom ""more loves"" O beloved, idolized homeland, hail, hail! Brazil, of eternal love be a symbol the starred labarum which thou displayst And say the laurel-green of this pennant ""Peace in the future and glory in the past"" But if thou raisest the strong mace of justice, see that a son of thine flees not from battle, nor do those who love thee fear their own death Adored Land Amongst thousand others art thou, Brazil, O beloved homeland Of the sons of this ground thou art kind mother Beloved homeland, Brazil",brazil,absent,0.6000000000000001,0.0,0.0,0.6
31,76,greenland,0.475,0.0219,0.0,-17.9,1.0,0.042,0.973,0.956,0.114,0.534,119.479,audio_features,0b0clBBEoH8sp9TOcXxUqN,spotify:track:0b0clBBEoH8sp9TOcXxUqN,https://api.spotify.com/v1/tracks/0b0clBBEoH8sp9TOcXxUqN,https://api.spotify.com/v1/audio-analysis/0b0clBBEoH8sp9TOcXxUqN,44160.0,4.0,,0b0clBBEoH8sp9TOcXxUqN,"Greenland: ""Our country, who's become so old your head…"" (arr. P. Breiner)",Greenland,greenland,,,,,,,Greenland,GL,GRL,North_America,"Our country, which has become so old your head is all covered with white hair. Always held us, your children, in your bosom and gave us the riches of your coasts. As middle children in the family we blossomed here we want to call ourselves before your proud and honourable head. Humbleness is not the course, wake up and be proud! A dignified life is our goal; courageously take a stand",greenland,absent,0.4583333333333332,0.125,0.2083333333333333,0.3333333333333333
43,89,iran,0.292,0.155,7.0,-17.291,1.0,0.0406,0.796,0.931,0.0983,0.237,136.882,audio_features,3e2KYjwBoAxPvTwWHZ6wED,spotify:track:3e2KYjwBoAxPvTwWHZ6wED,https://api.spotify.com/v1/tracks/3e2KYjwBoAxPvTwWHZ6wED,https://api.spotify.com/v1/audio-analysis/3e2KYjwBoAxPvTwWHZ6wED,71200.0,4.0,,3e2KYjwBoAxPvTwWHZ6wED,"Iran: ""Upwards on the horizon rises the Eastern Sun…""",Iran,iran,#FFFFFF,#DA0101,#239F40,#B0DDBA,#E96A6A,#8ACC99,Iran,IR,IRN,Asia,"Upwards on the horizon rises the Eastern Sun, The light in the eyes of the believers in justice, Bahman is the zenith of our faith. Your message, O Imam, of independence, freedom, is imprinted on our souls. O Martyrs! Your clamours echo in the ears of time. Enduring, continuing, and eternal. The Islamic Republic of Iran!",iran,absent,0.4523809523809524,0.3095238095238095,0.1666666666666666,0.0
68,119,malaysia,0.144,0.309,5.0,-15.563,1.0,0.0393,0.648,0.898,0.0904,0.543,148.481,audio_features,3cCmOupy4944LwUFJK7aH2,spotify:track:3cCmOupy4944LwUFJK7aH2,https://api.spotify.com/v1/tracks/3cCmOupy4944LwUFJK7aH2,https://api.spotify.com/v1/audio-analysis/3cCmOupy4944LwUFJK7aH2,86867.0,4.0,,3cCmOupy4944LwUFJK7aH2,"Malaysia: ""My country, my native land…"" (arr. P. Breiner)",Malaysia,malaysia,#CC0001,#FFFFFF,#010066,#E26E6F,#F1B7B7,#D4A911,Malaysia,MY,MYS,Asia,My motherland The land where my blood has spilt Where the people live United and progressive With God given Blessings of happiness May our King Reign in peace With God given Blessings of happiness May our King Reign in peace,malaysia,present,0.7575757575757576,0.0,0.0303030303030303,0.3333333333333333
