,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country_x,country_y,c1,c2,c3,c4,c5,c6,Country,Alpha-2,Alpha-3,Continent,Anthem,country_lower,god,positivity,anger,sad,joy
133,myanmar,0.151,0.204,8.0,-13.163,1.0,0.0317,0.812,0.798,0.0905,0.281,178.46,audio_features,6ZTv7i5QfFh9WwYM3pRJFv,spotify:track:6ZTv7i5QfFh9WwYM3pRJFv,https://api.spotify.com/v1/tracks/6ZTv7i5QfFh9WwYM3pRJFv,https://api.spotify.com/v1/audio-analysis/6ZTv7i5QfFh9WwYM3pRJFv,64413.0,4.0,,6ZTv7i5QfFh9WwYM3pRJFv,"Myanmar: ""We shall always love Burma, land of our forefathers…"" (Olympic version)",Myanmar,myanmar,#FECB00,#EA2839,#34B233,#FEFFFE,#77BA22,#708435,Myanmar,MM,MMR,Asia,"Accompanied with justice and freedom; our nation, our motherland. To bring peace to all people; the nation having equal right and pure policy, our nation, our motherland. Let us preserve with vow for perpetuity of our heritage of the Union. As long as the world exists, we love Myanmar, the true heritage of our ancestors. We shall safeguard the Union by sacrificing our lives. This is our nation, our motherland and our own land. Let us serve unitedly for the interest of our nation, our motherland. That is our duty for the precious land.",myanmar,absent,,,,
134,namibia,0.345,0.222,0.0,-17.697,1.0,0.0395,0.729,0.969,0.0727,0.37,84.873,audio_features,20ZDAzApNGx4lZcqWktsyZ,spotify:track:20ZDAzApNGx4lZcqWktsyZ,https://api.spotify.com/v1/tracks/20ZDAzApNGx4lZcqWktsyZ,https://api.spotify.com/v1/audio-analysis/20ZDAzApNGx4lZcqWktsyZ,80813.0,4.0,,20ZDAzApNGx4lZcqWktsyZ,"Namibia: ""Namibia, land of the brave…"" (arr. P. Breiner)",Namibia,namibia,#009543,#003580,#D21034,#FEFDFD,#FECD01,#E05D75,Namibia,,NAM,Africa,Namibia land of the brave Freedom fight we he won Glory to their bravery Whose blood waters our freedom We give our love and loyalty Together in unity Contrasting beautiful Namibia Namibia our country Beloved land of savannahs Hold high the banner of liberty Namibia our Country Namibia Motherland We love thee,namibia,absent,,,,
135,nepal,0.295,0.308,10.0,-15.124,1.0,0.0355,0.73,0.76,0.282,0.284,70.22,audio_features,6nBY6n7q4KjEK0XMKvlhrV,spotify:track:6nBY6n7q4KjEK0XMKvlhrV,https://api.spotify.com/v1/tracks/6nBY6n7q4KjEK0XMKvlhrV,https://api.spotify.com/v1/audio-analysis/6nBY6n7q4KjEK0XMKvlhrV,80440.0,4.0,,6nBY6n7q4KjEK0XMKvlhrV,"Nepal: Sayaun Thunga Phool Ka (Hundreds of Flowers), ""Woven from hundreds of flowers…"" [2006 onwards]",Nepal,nepal,#003A96,#DC143C,#FFFEFE,#EA728A,#F099AA,#63286C,Nepal,NP,NPL,Asia,"Woven from hundreds of flowers, we are one garland that's Nepali Spread sovereign from Mechi to Mahakali. A shawl of nature's wealth unending From the blood of the braves, a nation free and non-moving. A land of knowledge, of peace, the plains, hills and mountains tall Indivisible, this beloved land of ours, our motherland Nepal. Of many races, languages, religions, and cultures of incredible sprawl This progressive nation of ours, all hail Nepal!",nepal,absent,,,,
137,new zealand,0.144,0.185,8.0,-15.392,1.0,0.0355,0.91,0.908,0.305,0.364,79.304,audio_features,2zmZAg7Im6K1QK8O6FgH1g,spotify:track:2zmZAg7Im6K1QK8O6FgH1g,https://api.spotify.com/v1/tracks/2zmZAg7Im6K1QK8O6FgH1g,https://api.spotify.com/v1/audio-analysis/2zmZAg7Im6K1QK8O6FgH1g,60347.0,4.0,,2zmZAg7Im6K1QK8O6FgH1g,"New Zealand: God Defend New Zealand, ""God of nations, at Thy feet…"" (arr. P. Breiner)",New Zealand,new zealand,#00247D,#CC142B,#FEFDFE,#546CA8,#DDD9E6,#2E4B95,New Zealand,NZ,NZL,Oceania,"God of Nations at Thy feet, In the bonds of love we meet, Hear our voices, we entreat, God defend our free land. Guard Pacific's triple star From the shafts of strife and war, Make her praises heard afar, God defend New Zealand. Men of every creed and race, Gather here before Thy face, Asking Thee to bless this place, God defend our free land. From dissension, envy, hate, And corruption guard our state, Make our country good and great, God defend New Zealand. Peace, not war, shall be our boast, But, should foes assail our coast, Make us then a mighty host, God defend our free land. Lord of battles in Thy might, Put our enemies to flight, Let our cause be just and right, God defend New Zealand. Let our love for Thee increase, May Thy blessings never cease, Give us plenty, give us peace, God defend our free land. From dishonour and from shame, Guard our country's spotless name, Crown her with immortal fame, God defend New Zealand. May our mountains ever be Freedom's ramparts on the sea, Make us faithful unto Thee, God defend our free land. Guide her in the nations' van, Preaching love and truth to man, Working out Thy glorious plan, God defend New Zealand.",new zealand,present,,,,
138,nicaragua,0.401,0.0383,10.0,-19.113,1.0,0.0354,0.957,0.936,0.236,0.233,119.35,audio_features,1Q90KlFjFdiFJAbb3aWYp4,spotify:track:1Q90KlFjFdiFJAbb3aWYp4,https://api.spotify.com/v1/tracks/1Q90KlFjFdiFJAbb3aWYp4,https://api.spotify.com/v1/audio-analysis/1Q90KlFjFdiFJAbb3aWYp4,92747.0,4.0,,1Q90KlFjFdiFJAbb3aWYp4,"Nicaragua: ""Hail to you, Nicaragua…"" (arr. P. Breiner)",Nicaragua,nicaragua,#0067C6,#FFFFFF,#ABCDEC,#98C826,#D0DB25,#CF2425,Nicaragua,NI,NIC,North_America,"Hail to thee, Nicaragua! On thy land roars the voice of the cannon no more, nor does the blood of brothers now stain thy glorious bicolor banner. Let peace shine beautifully in thy sky, and nothing dims your immortal glory, for work is thy well earned laurel and honor is thy triumphal emblem!",nicaragua,absent,,,,
139,niger,0.418,0.0679,5.0,-17.679,1.0,0.0332,0.95,0.933,0.0639,0.434,82.213,audio_features,2pYrONs2zsZB9jvSgKrFfj,spotify:track:2pYrONs2zsZB9jvSgKrFfj,https://api.spotify.com/v1/tracks/2pYrONs2zsZB9jvSgKrFfj,https://api.spotify.com/v1/audio-analysis/2pYrONs2zsZB9jvSgKrFfj,86427.0,4.0,,2pYrONs2zsZB9jvSgKrFfj,"Niger: La Nigérienne (The Song of Niger), ""By the water of the mighty Niger…"" [Olympic version] [arr. P. Breiner]",Niger,niger,#E05206,#0DB02B,#FFFFFF,#F5C5AC,#AFE5B9,#EEA279,Niger,NE,NER,Africa,"Throughout great powerful Niger Which makes nature more beautiful, Let us be proud and grateful For our newfound freedom! Let us avoid vain quarrels In order to spare ourselves bloodshed, And may the glorious voices Of our race be free of domination! Let us rise in a single leap As high as the dazzling sky, Where stands guard its eternal soul Which will make the country greater! Arise! Niger! Arise! May our fruitful labors Rejuvenate the heart of this old continent! And may the song be heard In the four corners of the Earth As the cry of a fair and valiant people! Arise! Niger! Arise! On the ground and on the wave, To the sound of the drums In their growing rhythms Let us always remain united, And may each one respond To this noble future Which tells us Go forward!",niger,absent,,,,
140,nigeria,0.232,0.0857,5.0,-17.743,1.0,0.0366,0.717,0.982,0.103,0.283,77.164,audio_features,59hciKc6vZUvo4ZSj7cTu3,spotify:track:59hciKc6vZUvo4ZSj7cTu3,https://api.spotify.com/v1/tracks/59hciKc6vZUvo4ZSj7cTu3,https://api.spotify.com/v1/audio-analysis/59hciKc6vZUvo4ZSj7cTu3,70840.0,4.0,,59hciKc6vZUvo4ZSj7cTu3,"Nigeria: ""Arise, O compatriots, Nigeria's call obey…"" (short version)",Nigeria,nigeria,#008751,#FFFFFF,#5AB18E,,,,Nigeria,NG,NGA,Africa,"Arise, O Compatriots Arise, O Compatriots, Nigeria's call obey To serve our Fatherland With love and strength and faith. The labour of our heroes past Shall never be in vain, To serve with heart and might One nation bound in freedom, peace and unity. O God of creation, Direct our noble cause; Guide our Leaders right: Help our Youth the truth to know, In love and honesty to grow, And living just and true, Great lofty heights attain, To build a nation where peace and justice reign. ",nigeria,present,,,,
142,norway,0.196,0.186,2.0,-17.367,1.0,0.0418,0.98,0.752,0.0637,0.0633,96.702,audio_features,5yxAHfK3BFQQ1nG2SzejN3,spotify:track:5yxAHfK3BFQQ1nG2SzejN3,https://api.spotify.com/v1/tracks/5yxAHfK3BFQQ1nG2SzejN3,https://api.spotify.com/v1/audio-analysis/5yxAHfK3BFQQ1nG2SzejN3,72800.0,4.0,,5yxAHfK3BFQQ1nG2SzejN3,"Norway: Nasjonalsangen (National Song), ""Yes, we love this country…""",Norway,norway,#EF2B2D,#002868,#FFFFFF,#F68E8F,#BBC6D7,#637CA3,Norway,NO,NOR,Europe,"Yes, we love with fond devotion This our land that looms Rugged, storm-scarred o'er the ocean With her thousand homes. Love her, in our love recalling Those who gave us birth. And old tales which night, in falling, Brings as dreams to earth. Norseman, whatsoe'er thy station, Thank thy God whose power willed and wrought the land's salvation In her darkest hour. All our mothers sought with weeping And our sires in fight, God has fashioned in His keeping Till we gained our right. Yes, we love with fond devotion This our land that looms Rugged, storm-scarred o'er the ocean With her thousand homes. And, as warrior sires have made her Wealth and fame increase, At the call we too will aid her Armed to guard her peace.",norway,present,,,,
143,oman,0.534,0.243,10.0,-14.922,1.0,0.127,0.634,0.981,0.164,0.774,74.726,audio_features,7LEAGoqIqzKl3vdID4dvpL,spotify:track:7LEAGoqIqzKl3vdID4dvpL,https://api.spotify.com/v1/tracks/7LEAGoqIqzKl3vdID4dvpL,https://api.spotify.com/v1/audio-analysis/7LEAGoqIqzKl3vdID4dvpL,34147.0,4.0,,7LEAGoqIqzKl3vdID4dvpL,"Oman: The Sultan's Anthem, ""O Lord, protect for us our Majesty the Sultan…"" (Olympic version)",Oman,oman,#DB161B,#FFFFFF,#008000,#E76669,#923A12,#F3B0B2,Oman,OM,OMN,Asia,"O Lord, protect for us His Majesty the Sultan and the people in our land with honor and peace. May he live long, strong and supported, glorified be his leadership. welling to protect him by our soles. O Oman, since the time of the Prophet We are a dedicated people amongst the noblest Arabs. Be happy! Qaboos has come may the heaven bless him Be cheerful and commend him to the protection of our prayers.",oman,present,,,,
144,pakistan,0.379,0.257,10.0,-17.315,1.0,0.0272,0.562,0.977,0.368,0.473,36.468,audio_features,2HshZVTAZsAQNBwcRqkEbg,spotify:track:2HshZVTAZsAQNBwcRqkEbg,https://api.spotify.com/v1/tracks/2HshZVTAZsAQNBwcRqkEbg,https://api.spotify.com/v1/audio-analysis/2HshZVTAZsAQNBwcRqkEbg,92893.0,4.0,,2HshZVTAZsAQNBwcRqkEbg,"Pakistan: Qaumī Tarāna (National Anthem), ""Blessed be the sacred land…"" [arr. P. Breiner]",Pakistan,pakistan,#01411C,#FFFFFF,#82A18F,#DDE6E1,#47755A,#235A3A,Pakistan,PK,PAK,Asia,"Blessed be the sacred land, Happy be the bounteous realm. Thou symbol of high resolve, O Land of Pakistan! Blessed be the citadel of faith. The order of this sacred land, The might of the brotherhood of the people, May the nation, the country, and the state, Shine in glory everlasting! Blessed be the goal of our ambition. The flag of the crescent and star, Leads the way to progress and perfection, Interpreter of our past, glory of our present, inspiration for our future! Shade of God, the Glorious and Mighty.",pakistan,present,,,,
145,palestine,0.472,0.618,5.0,-14.023,1.0,0.0453,0.786,0.772,0.12,0.653,102.774,audio_features,6j7xMzAUT1mGGcL14jf7jO,spotify:track:6j7xMzAUT1mGGcL14jf7jO,https://api.spotify.com/v1/tracks/6j7xMzAUT1mGGcL14jf7jO,https://api.spotify.com/v1/audio-analysis/6j7xMzAUT1mGGcL14jf7jO,65867.0,3.0,,6j7xMzAUT1mGGcL14jf7jO,"Palestine: Fida'i (Revolutionary), ""My country, the land of my grandfathers…""",Palestine,palestine,,,,,,,Palestine,PS,PSE,Asia,"Warrior, warrior, warrior, Oh my land, the land of the ancestors Warrior, warrior, warrior, Oh my people, people of eternity With my determination, my fire and the volcano of my vendetta With the longing in my blood for my land and my home I have climbed the mountains and fought the wars I have conquered the impossible, and crossed the frontiers With the resolve of the winds and the fire of the weapons And the determination of my nation in the land of struggle Palestine is my home, and the path of my triumphal (Palestine is my home, Palestine is my fire,) Palestine is my vendetta and the land of withstanding By the oath under the shade of the flag By my land and nation, and the fire of pain I will live as a warrior, I will remain a warrior, I will die as a warrior - until my country returns warrior",palestine,absent,,,,
146,panama,0.587,0.0756,2.0,-17.565,1.0,0.0346,0.884,0.492,0.156,0.459,103.159,audio_features,0EVhJ5ksgTGhLsC1O94lm8,spotify:track:0EVhJ5ksgTGhLsC1O94lm8,https://api.spotify.com/v1/tracks/0EVhJ5ksgTGhLsC1O94lm8,https://api.spotify.com/v1/audio-analysis/0EVhJ5ksgTGhLsC1O94lm8,83400.0,4.0,,0EVhJ5ksgTGhLsC1O94lm8,"Panama: Himno Istemño (Isthmus Hymn), ""It is necessary to veil with a curtain…"" [Olympic version] [arr. P. Breiner]",Panama,panama,#FFFFFF,#005293,#D21034,#EA90A1,#5088B5,#DF536D,Panama,PA,PAN,North_America,"At last we reached victory In the joyous field of the union; With ardent fires of glory A new nation is alight. It is necessary to cover with a veil The past times of Calvary and cross; Let now the blue skies be adorned with The splendid light of the concord. Progress caresses your path. To the rhythm of a sublime song, You see both your seas roar at your feet Giving you a path to your noble mission. In your soil covered with flowers To the kisses of the warm terrestrial breeze, Warrior roars have ceased; Only fraternal love reigns. Ahead the shovel and pick, At work without any more dilation, and we will be as such at work and gala of this fruitful world of Columbus.",panama,absent,,,,
147,papua new guinea,0.582,0.15,7.0,-13.852,1.0,0.0347,0.959,0.976,0.0886,0.602,74.714,audio_features,4QAL2eMaoaLmxekK4vMzGk,spotify:track:4QAL2eMaoaLmxekK4vMzGk,https://api.spotify.com/v1/tracks/4QAL2eMaoaLmxekK4vMzGk,https://api.spotify.com/v1/audio-analysis/4QAL2eMaoaLmxekK4vMzGk,60333.0,4.0,,4QAL2eMaoaLmxekK4vMzGk,"Papua New Guinea: ""O arise all you sons of this land…"" (Olympic version) [arr. P. Breiner]",Papua New Guinea,papua new guinea,#000000,#CE1126,#FCD016,#EC8F1B,#DC4D21,#6E0914,Papua New Guinea,PG,PNG,Oceania,"O arise all you sons of this land, Let us sing of our joy to be free, Praising God and rejoicing to be Papua New Guinea. Shout our name from the mountains to the seas Papua New Guinea; Let us raise our voices and proclaim Papua New Guinea. Now give thanks to the good Lord above For His kindness, His wisdom and love For this land of our fathers so free, Papua New Guinea. Shout again for the whole world to hear Papua New Guinea; We are independent and we're free Papua New Guinea.",papua new guinea,present,,,,
148,paraguay,0.35,0.246,5.0,-17.025,1.0,0.07,0.856,0.939,0.355,0.667,67.859,audio_features,2YgkKbuVz5zJNkRMlUC2wA,spotify:track:2YgkKbuVz5zJNkRMlUC2wA,https://api.spotify.com/v1/tracks/2YgkKbuVz5zJNkRMlUC2wA,https://api.spotify.com/v1/audio-analysis/2YgkKbuVz5zJNkRMlUC2wA,90987.0,4.0,,2YgkKbuVz5zJNkRMlUC2wA,"Paraguay: ""For three centuries a reign oppressed the unhappy peoples of America…"" (Olympic version)",Paraguay,paraguay,#0038A8,#D52B1E,#FFFFFF,#ABBDE2,#F1B8B4,#309556,Paraguay,PY,PRY,South_America,"The peoples of the Americas, unfortunately, Were oppressed for three centuries by a scepter But one magnificent day surging forth, ""Enough!"", it said, and the scepter was broken. Our fathers, grandiose in battle, Showed their martial glory; And after smashing the august diadem, The triumphal cap was raised. Paraguayans: Republic or Death! Our spirit gave us liberty Neither oppressors nor slaves exist Where union and equality reign. A new Rome, the Fatherland shall proudly display Two leaders of name and valor Who, rivals, like Romulus and Remus Divided government and power. These long years when, during which Phoebus in the clouds Saw darken the pearl of the South, Today a grand hero appears Raising up again her glory and virtue, Europe and the entire world to her Gives salutes and also acclaimations To that invincible bastion of heroism, The magnificent Eden of riches. When discord rumbled all around Which fatally devoured other Peoples, Paraguayans, the sacred ground Was covered by an angel with its wings. Oh, how pure, of laurel girded Sweet Fatherland, in this manner you show yourself. In your ensign one sees the colors Of sapphire, diamond, and ruby. In your coat of arms, which the Sun illuminates, Under the cap, one sees the lion. Double image of the strong and the free, And of glories, the memory and crest. From the tomb of vile feudalism The national Deity rises free; Oppressors, bend your knees! Compatriots, entone the hymn! Sound the cry, ""Republic or death""! Our breasts exhale it with faith, And the mountains repeat its echoes Like giants arising in the land. Our Fatherland defends liberty and justice; So tyrants: listen! The laws in its sacred charter Will sustain its heroism in the fight. Against the world, if the world opposes it, If the world dares to insult her security, Battling to avenge we shall know her Or die embracing her. Arise, oh People, your splendid sword That strikes with sparkles of God, There is no middle ground between free or slave And an abyss divides the two. In the gentle breezes the Hymn resounds, Repeating with triumphal echo: For the free, renowned glory! For the Fatherland, immortal laurel!",paraguay,present,,,,
149,peru,0.512,0.0818,5.0,-20.214,1.0,0.0374,0.942,0.882,0.0544,0.311,113.576,audio_features,2kr4EfhDEsdJjyhJKWp4Ih,spotify:track:2kr4EfhDEsdJjyhJKWp4Ih,https://api.spotify.com/v1/tracks/2kr4EfhDEsdJjyhJKWp4Ih,https://api.spotify.com/v1/audio-analysis/2kr4EfhDEsdJjyhJKWp4Ih,160053.0,4.0,,2kr4EfhDEsdJjyhJKWp4Ih,"Peru: Peru [Himno Nacional del Peru (National Anthem of Peru), ""For a long time the Peruvian…""]",Peru,peru,#D91023,#FFFFFF,,,,,Peru,PE,PER,South_America,"We are free! May we always be so, may we always be so! And may the Sun renounce its light, its light, its light, Before we break the solemn vow which the homeland lifted up to the Eternal, Before we break the solemn vow which the homeland lifted up to the Eternal. Before we break the solemn vow which the homeland lifted up to the Eternal. For a long time the oppressed Peruvian the ominous chain he dragged Condemned to a cruel servitude for a long time, for a long time for a long time he quietly moaned But as soon as the sacred cry Freedom! in its coasts was heard the slaves' indolence shakes the humiliated, the humiliated, the humiliated neck raised up, the humiliated neck raised up, neck raised up We are free! May we always be so, may we always be so! And may the Sun renounce its light, its light, its light, Before we break the solemn vow which the homeland lifted up to the Eternal, Before we break the solemn vow which the homeland lifted up to the Eternal. Before we break the solemn vow which the homeland lifted up to the Eternal. Now the roar of rough chains that we had heard for three centuries of horror from the free, at the sacred cry that the world heard astonished, ceased. Everywhere the inflamed San Martín ""Freedom"", ""Freedom"" he pronounced; and the Andes, rocking their base, announced it as well, in unison. With its influx the peoples woke up, and like lighting ran the opinion; from the Isthmus to the Tierra del Fuego, and from Tierra del Fuego to the icy regions. Everyone vowed to break the link that Nature denied to both worlds, and break the sceptre that Spain had reclined, proudly, on both. Lima fulfilled this solemn vow, and, severe, its anger showed by throwing out the powerless tyrant, who had been trying to extend his oppression. On its endeavor the shackles cracked, and the furrows that it had repaired in itself stirred up its hatred and vengeance, inherited from its Inca and Lord. Countrymen, may we see it a slave no more. If for three centuries it moaned, humiliated, forever may we swear it'd be free, maintaining its own splendor. Our arms, until today unarmed, be they always readying the cannon, that some day the beaches of Iberia will feel the horror of its roar. May we arouse the jealousy of Spain since it has a premonition, with want and furor, that in a contest of great nations our country will enter in comparison. On the list formed by these we shall fill the line first, ahead of the ambitious Iberian tyrant, who devastated all of America. On its summits may the Andes sustain the two-color flag or standard, may it announce to the centuries the effort that being free, that being free that being free gave us forever. Under its shadow may we live calmly and, at birth of the sun in its summits, may we all renew the great oath that we rendered, that we rendered that we rendered to the God of Jacob, that we rendered to the God of Jacob, the God of Jacob. We are free! May we always be so, may we always be so! And may the Sun renounce its light, its light, its light, Before we break the solemn vow which the homeland lifted up to the Eternal, Before we break the solemn vow which the homeland lifted up to the Eternal. Before we break the solemn vow which the homeland lifted up to the Eternal.",peru,present,,,,
151,poland,0.51,0.283,5.0,-12.201,1.0,0.0376,0.797,0.32,0.0506,0.714,113.868,audio_features,4buuniSDD5BmhtpJKlZI4b,spotify:track:4buuniSDD5BmhtpJKlZI4b,https://api.spotify.com/v1/tracks/4buuniSDD5BmhtpJKlZI4b,https://api.spotify.com/v1/audio-analysis/4buuniSDD5BmhtpJKlZI4b,45853.0,3.0,,4buuniSDD5BmhtpJKlZI4b,"Poland: Poland [Mazurek Dabrowskiego (Dombrowski's Mazurka), ""Poland has not yet succumbed…""]",Poland,poland,#FFFFFF,#DC143C,,,,,Poland,PL,POL,Europe,"Poland has not yet died, So long as we still live. What the foreign power has seized from us, We shall recapture with a sabre. March, march, Dabrowski, To Poland from the Italian land. Under your command We shall rejoin the nation. We'll cross the Vistula, we'll cross the Warta, We shall be Polish. Bonaparte has given us the example Of how we should prevail. Like Czarniecki to PoznaÃ…â€ž Returned across the sea To save his homeland After the Swedish partition. The German nor the Muscovite will settle When, with a backsword in hand, ""Concord"" will be everybody's watchword And so will be our fatherland. A father, in tears, Says to his Basia Listen, our boys are said To be beating the tarabans. All exclaim in unison, ""Enough of this captivity!"" We've got the scythes of RacÃ…â€šawice, KoÃ…â€ºciuszko, if God wills.",poland,present,,,,
154,qatar,0.509,0.278,7.0,-15.591,1.0,0.0428,0.927,0.534,0.312,0.579,90.373,audio_features,3f07mzCcKgZXFxNbUThZTa,spotify:track:3f07mzCcKgZXFxNbUThZTa,https://api.spotify.com/v1/tracks/3f07mzCcKgZXFxNbUThZTa,https://api.spotify.com/v1/audio-analysis/3f07mzCcKgZXFxNbUThZTa,79573.0,4.0,,3f07mzCcKgZXFxNbUThZTa,"Qatar: Qatar [Al-Salam Al-Amiri (The Peace for the Emir), ""Swearing by God who erected the sky…""] (1996 onwards) (Olympic version)",Qatar,qatar,#8D1B3D,#FFFFFF,#B2657D,#E5CAD2,,,Qatar,QA,QAT,Asia,"I Swear, I Swear Swearing by the one who raised the sky  Swearing by the one who spread the light Qatar will always be free By the spirit of the loyal Travel the high road Travel by the guiding light of the Prophets In my heart, Qatar is a way that respects the achievements of our forefathers Qatar is the land of the foremost men Who protect us in time of distress, Doves they can be at times of peace, Warriors they are at times of sacrifice I Swear, I Swear Swearing by the one who raised the sky  Swearing by the one who spread the light Qatar will always be free By the spirit of the loyal",qatar,absent,,,,
157,rwanda,0.307,0.365,7.0,-15.113,1.0,0.04,0.825,0.9,0.195,0.343,74.37,audio_features,6biVq2aEnyL3r3OdMwolj9,spotify:track:6biVq2aEnyL3r3OdMwolj9,https://api.spotify.com/v1/tracks/6biVq2aEnyL3r3OdMwolj9,https://api.spotify.com/v1/audio-analysis/6biVq2aEnyL3r3OdMwolj9,84507.0,4.0,,6biVq2aEnyL3r3OdMwolj9,"Rwanda: Rwanda [""Beautiful Rwanda our Motherland…""] (2001 onwards) (Olympic version)",Rwanda,rwanda,#00A1DE,#FAD201,#20603D,#81B162,#40A9A0,#C2BA22,Rwanda,RW,RWA,Africa,"Rwanda, our beautiful and dear country Adorned of hills, lakes and volcanoes Motherland, would be always filled of happiness Us all your children: Abanyarwanda Let us sing your glare and proclaim your high facts You, maternal bosom of us all Would be admired forever, prosperous and cover of praises. Invaluable heritage, that God protects to you You filled us priceless goods Our common culture identifies us Our single language unifies us That our intelligence, our conscience and our forces Fill you with varied riches For an unceasingly renewed development. Our valorous ancestors Gave themselves bodies and souls As far as making you a big nation You overcame the colonial-imperialistic yoke That has devastated Africa entirely And has your joy of your sovereign independence Acquired that constantly we will defend. Maintain this cape, beloved Rwanda, Standing, we commit for you So that peace reigns countrywide That you are free of all hindrance That your determination hires progress That you have excellent relations with all countries And that finally your pride is worth your esteem. ",rwanda,present,,,,
162,samoa,0.547,0.276,8.0,-16.284,1.0,0.0454,0.891,0.951,0.0565,0.575,88.883,audio_features,7qI219Hy9eTpmYXISOKTBx,spotify:track:7qI219Hy9eTpmYXISOKTBx,https://api.spotify.com/v1/tracks/7qI219Hy9eTpmYXISOKTBx,https://api.spotify.com/v1/audio-analysis/7qI219Hy9eTpmYXISOKTBx,75867.0,4.0,,7qI219Hy9eTpmYXISOKTBx,"Samoa: Samoa [O Ie Fu’a o Ie Sa'olotoga o Samoa (The Banner of Freedom), ""Samoa, arise and raise your banner…""] (short)",Samoa,samoa,#CE1126,#002B7F,#FBFCFD,#2F5297,#6D86B6,#BAC6DC,Samoa,WS,WSM,Oceania,"Samoa, arise and raise your flag, your crown! Samoa, arise and raise your flag, your crown! Look at those stars that are waving on it: This is the symbol of Jesus, who died on it for Samoa. Oh, Samoa, hold fast your power forever. Do not be afraid; God is our foundation, our freedom. Samoa, arise: your flag is waving, your crown!",samoa,present,,,,
168,serbia,0.197,0.172,5.0,-15.166,1.0,0.0379,0.917,0.848,0.0954,0.188,143.368,audio_features,5Jnqq3aJovPtXO3BplykGf,spotify:track:5Jnqq3aJovPtXO3BplykGf,https://api.spotify.com/v1/tracks/5Jnqq3aJovPtXO3BplykGf,https://api.spotify.com/v1/audio-analysis/5Jnqq3aJovPtXO3BplykGf,79893.0,4.0,,5Jnqq3aJovPtXO3BplykGf,"Serbia: Serbia [Boze pravde (God of Justice), ""God of Justice; Thou who saved us when in deepest bondage cast…""] (2005 arrangement)",Serbia,serbia,#C6363C,#0C4076,#CF9E2E,#B06232,#CFA6A5,#5C7FA3,Serbia,RS,SRB,Europe,"od of Justice; Thou who saved us when in deepest bondage cast, Hear Thy Serbian children's voices, Be our help as in the past. With Thy mighty hand sustain us, Still our rugged pathway trace; God, our hope; protect and cherish, Serbian lands and Serbian race! Bind in closest links our kindred Teach the love that will not fail, May the loathed fiend of discord Never in our ranks prevail. Let the golden fruits of union Our young tree of freedom grace; God, our Master! Guide and prosper, Serbian lands and Serbian race! Lord! Avert from us Thy vengeance, Thunder of Thy dreaded ire; Bless each Serbian town and hamlet, Mountain, meadow, heart and spire! When our host goes forth to battle Death or victory to embrace God of armies! Be our leader, Strengthen then the Serbian race! On our sepulchre of ages Breaks the resurrection morn, From the slough of direst slavery Serbia anew is born. Through five hundred years of durance We have knelt before Thy face, All our kin, O God! Deliver, Thus entreats the Serbian race!",serbia,present,,,,
178,spain,0.49,0.044,5.0,-18.564,1.0,0.0316,0.939,0.904,0.0558,0.232,100.117,audio_features,0WSZZYhLU5k6V7S5EgY8U4,spotify:track:0WSZZYhLU5k6V7S5EgY8U4,https://api.spotify.com/v1/tracks/0WSZZYhLU5k6V7S5EgY8U4,https://api.spotify.com/v1/audio-analysis/0WSZZYhLU5k6V7S5EgY8U4,121400.0,4.0,,0WSZZYhLU5k6V7S5EgY8U4,"Spain: Spain [Himno Nacional Espanol (Spanish National Anthem), ""Gloria, gloria…""]",Spain,spain,#C60B1E,#FFC400,#975C11,#9E2918,#B08F07,#CEB56B,Spain,ES,ESP,Europe,"Flag of Spain Glory, glory, crown of the Fatherland sovereign light which in your standard is gold. Life, life, future of the Fatherland, in your eyes it is an open heart Purple and gold: immortal flag; in your colors, together, flesh and soul are. Purple and gold: to want and to achieve; You are, flag, the sign of human effort. Glory, glory, crown of the Fatherland sovereign light which in your standard is gold. Purple and gold: immortal flag; in your colors, together, flesh and soul are. Spain guiding Ask of us, Spain! Your name we will take anywhere you want; because honoring it is our law! Command us, Spain, and united we will fight, so that you may live, relentless people and king! You give us a glorious flag; Nobody, who is alive, Spain, will take it from us! So that, one day, we can be covered by it, Give us, Spain, the joy of dying for you! Long live Spain! Long live Spain! The cry of the Fatherland, the triumphant explosion Has opened the way to the sun; Long live Spain! repeated twenty peoples and when they speak they have faith in the Spanish will Mark plow hammer and bugle your noble rhythm at the cry of the Fatherland faith! Guide the mind and the hand until the end, the ""Long Live Spain"" Spain attends all standing!",spain,absent,,,,
