minor_word
am
are
is
was
were
have
has
be
will
may
might
shall
should
let
A minute later
Accordingly
Actually
After
After a short time
Afterwards
Also
And
Another
As an example
As a consequence
As a result
As soon as
At last
At lenght
Because
Because of this
Before
Besides
Briefly
But
Consequently
Conversely
Equally important
Finally
First
For example
For instance
For this purpose
For this reason
Fourth
From here on
Further
Furthermore
Gradually
Hence
However
In addition
In conclusion
In contrast
In fact
In short
In spite of
In spite of this
In summary
In the end
In the meanwhile
In the meantime
In the same manner
In the same way
Just as important
Least
Last
Last of all
Lastly
Later
Meanwhile
Moreover
Nevertheless
Next
Nonetheless
Now
Nor
Of equal importance
On the contrary
On the following day
On the other hand
Other hand
Or
Presently
Second
Similarly
Since
So
Soon
Still
Subsequently
Such as
The next week
Then
Thereafter
Therefore
Third
Thus
To be specific
To begin with
To illustrate
To repeat
To sum up
Too
Ultimately
What
Whatever
Whoever
Whereas
Whomever
When
While
With this in mind
Yet
aboard
about
above
across
after
against
along
amid
among
anti
around
as
at
before
behind
below
beneath
beside
besides
between
beyond
but
by
concerning
considering
despite
down
during
except
excepting
excluding
following
for
from
in
inside
into
like
minus
near
of
off
on
onto
opposite
outside
over
past
per
plus
regarding
round
save
since
than
through
to
toward
towards
under
underneath
unlike
until
up
upon
versus
via
with
within
without
all
another
any
anybody
anyone
anything
as
aught
both
each
each other
either
enough
everybody
everyone
everything
few
he
her
hers
herself
him
himself
his
I
idem
it
its
itself
many
me
mine
most
my
myself
naught
neither
no one
nobody
none
nothing
nought
one
one another
other
others
ought
our
ours
ourself
ourselves
several
she
some
somebody
someone
something
somewhat
such
suchlike
that
thee
their
theirs
theirself
theirselves
them
themself
themselves
there
these
they
thine
this
those
thou
thy
thyself
us
we
what
whatever
whatnot
whatsoever
whence
where
whereby
wherefrom
wherein
whereinto
whereof
whereon
wherever
wheresoever
whereto
whereunto
wherewith
wherewithal
whether
which
whichever
whichsoever
who
whoever
whom
whomever
whomso
whomsoever
whose
whosever
whosesoever
whoso
whosoever
ye
yon
yonder
you
your
yours
yourself
yourselves
what
how
when
where
why
a
an
the
